,Conservation Status,Locations,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Color,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Distinctive Feature,Temperament,Training,Type,Litter Size,Predators,Height,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Water Type,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Origin,Favorite Food,Migratory,Optimum pH Level,Special Features,Water type,Optimum PH Level
0,Least Concern,Africa,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,"Termites, Ants",Cub,Solitary,Can move up to 2ft of soil in just 15 seconds!,Unknown,Habitat loss,"Long, sticky tongue and rabbit-like ears","Antbear, Earth Pig",7 months,Sandy and clay soil,Omnivore,1,Nocturnal,Aardvark,18,Sub-Saharan Africa,Can move 2ft of soil in just 15 seconds!,Mammal,BrownGreyYellow,Hair,25 mph,23 years,60kg - 80kg (130lbs - 180lbs),1.05m - 2.20m (3.4ft - 7.3ft),2 years,3 months,,,,,,,,,,,,,,,,,,,,,,,,
1,Not Listed,Africa,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,The oldest breed of cat in the world!,,,,aka Aby or Abys for short,,,Omnivore,6,,Abyssinian cat,,,The oldest breed of cat in the world!,Cat,BrownGreyBlackWhiteBeige,Hair,,13-15 years,6-10 lbs,,,,Silky fur and almond shaped eyes,Intelligent and curious,Easy,Shorthair,,,,,,,,,,,,,,,,,,,,
2,Critically Endangered,Africa,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax nasomaculatus,,Calf,Social,"The hooves of the addax are splayed and have flat, springy soles, one of the adaptations that help it walk over sand.",Less than 500 in the wild,"Overhunting, poaching, habitat destruction, climate change, human activity.","Its long, beautiful, spiral horns"," White antelope, screwhorn antelope, bakr al wahsh",257 to 264 days,Desert and semidesert habitats,Herbivore,,,Addax,1,"Areas of Niger, Chad, Mali, Mauritania, Libya, Sudan, reintroduced into Tunisia and Morocco",,herd,WhiteGrey-Brown,Hair,,19-25 years,,47 to 51 inches with a 9.8 to 13.8 inch tail,"Two years for males, two to three years for females",5 to 9 months,,,,Mammal,01-Ù·¯,"Humans, big cats such as lions and leopards, medium-sized cats such as servals, hyenas and African wild dogs","Males 41 to 45 inches at the shoulder, females 37 to 43 inches at the shoulder",,,,,,,,,,,,,,,,,
3,Least Concern,"('Antarctica', 'Asia', 'Eurasia', 'Ocean')",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,"Krill, Fish, Squid",Chicks,Colony,Eats up to 2kg of food per day!,5 million,Rapid ice melt,Small white circle around each eye,,,Antarctic land and ocean,Carnivore,,Diurnal,Adelie Penguin,1,Coastal Antarctica,Eats up to 2kg of food per day!,Bird,,Feathers,45 mph,10 - 20 years,3kg - 6kg (7lbs - 13lbs),,2 - 3 years,,,,,,,"Leopard Seal, Skua Gull, Killer Whale",40cm - 75cm (16in - 30in),35cm - 70cm (14in - 27.5in),2 months,90 days,2,,,,,,,,,,,,,
4,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,The German name Affenpinscher translates to monkey dog. This pup‚Äôs face is similar to a monkey‚Äôs!,,,,,,,Omnivore,3,,Affenpinscher,,,First bred in 17th century Germany!,Dog,GreyBlack,Hair,,,,,,,Dark wiry-haired body and dark eyes,Alert and inquisitive,Medium,Terrier,,,,,,,,,,,,,,,,,,,,
5,Not Listed,Asia,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,"These dogs were originally bred for hunting purposes. They are one of the oldest dog breeds in the world, though they are now found in several rescue shelters around the world. They are known to be as fast as racehorses. The fur that covers these hounds keeps them very warm, though they can be shaved as well. Afghan Hounds have scent glands that usually produce a musky but not malodorous scent.",,,,,,,Omnivore,7,,Afghan Hound,,,First used as a shepherd and hunter!,Dog,BrownBlackWhiteGold,Hair,,,,,,,Long fur and pointed muzzle,Alert yet reserved and lively,Moderately Easy,Hound,,,,,,,,,,,,,,,,,,,,
6,Least Concern,Africa,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,Pyxicephalus adspersus,,"Tadpole, polliwog, larva",Solitary,The African bullfrog is one of only three species of frog that have ‚Äúteeth.‚Äù,Unknown,"Habitat destruction, hunting, pet trade",Size,"Pixie frog, Giant African Bullfrog",,"Deserts, high veld, floodplains, grassland, savanna, farms, marshes, ponds, lakes",Carnivore,,,African bullfrog,1,Sub-Saharan Africa,,,YellowCreamOliveLight-Brown,Permeable,,45 years,0.9 to 18 kilograms (2 - 4 pounds),11.43 - 25.4 centimeters (4.5 - 10 inches),1.5 - 2 years,,,,,Amphibian,As many as 4000 eggs laid at a time,Humans,,,,,,"Reptiles, small mammals, small birds, insects, amphibians, including other frogs",Fresh,,,,,,,,,,,
7,Near Threatened,Africa,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana africana,"Grass, Fruit, Roots",Calf,Herd,Can drink up to 50 gallons a day!,"300,000",Poaching and habitat loss,"Large, rounded ears",African Elephant,20 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Bush Elephant,1,central and southern Africa,Can drink up to 50 gallons a day,Mammal,BrownGrey,Leather,25 mph,60 - 70 years,"3,600kg - 5,400kg (7,900lbs - 12,000lbs)",,11 - 20 years,6 - 18 months,,,,,,"Human, Lion, Hyena",3m - 3.5m (10ft - 12ft),,,,,,,,,,,,,,,,,
8,Least Concern,Africa,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis,Civettictis civetta,"Rodents, Snakes, Frogs",Pup,Solitary,Secretes up to 4g of musk every week!,Abundant,Habitat loss,Black band around their eyes,,60 - 70 days,Tropical rainforest,Omnivore,3,Nocturnal,African Civet,1,across sub-Saharan Africa,Secretes up to 4g of musk every week!,Mammal,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,11 - 12 months,8 - 10 weeks,,,,,,"Lions, Snakes, Leopards",43cm - 71cm (17in - 28in),,,,,,,,,,,,,,,,,
9,Least Concern,Africa,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,"Small Fish, Insects, Spiders",Tadpole,Solitary,A particularly ferocious amphibian!,Abundant,Water pollution,Clawed front toes,Platanna,,Warm stagnant water with grassland,Carnivore,,Nocturnal,African Clawed Frog,1,eastern and southern Africa,A particularly ferocious amphibian!,Amphibian,BrownGreyAlbino,Permeable Scales,5 mph,8 - 15 years,25g - 220g (1oz - 8oz),2.5cm - 12cm (1in - 5in),10 - 12 months,,,,,,,"Snakes, Birds, Small Mammals",,,4 - 5 days,,,,Fresh,5 days,"2,000",,,,,,,,,
