,Common Name,Binomial name,Locations,Last record,Biggest Threat,Kingdom,Phylum,Class,Order,Family,Genus,Subphylum,Subfamily,Species,Tribe,Subtribe,Clade,Suborder,Infraclass,Declared extinct,Subspecies,Subgenus
0,Page's crane,Grus pagei,"Rancho La Brea,California, United States",10250-9180 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
1,La Brea owl,Oraristix brea,"Southern California, United States",10250-9180 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
2,Errant vulture,Neogyps errans,"California, United States",10210-9850 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
3,Eurasian cave lion,Panthera spelaea,NorthernEurasiaandBeringia,10045-9905 BCE,Undetermined.[3],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
4,Dow's puffin,Fratercula dowi,"Channel Islands of California, United States",10035-9845 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
5,Highland gomphothere,Cuvieronius hyodon,Northern and centralAndes[4],9790 BCE,Hunting?[5],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
6,Patagonian panther,Panthera onca mesembrina,Patagonia,9705-9545,Undetermined.[6],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
7,Toronto subway deer,Torontoceros hypnogeos,"Toronto, Canada",9690-9040 BCE,Undetermined.[7],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
8,Western bison,Bison occidentalis,North America; EasternSiberiaandJapan?,9590-9250 BCE,Possiblyhybridizationwithancient bisonresulting in modernAmerican bison.[8],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
9,Dwarf pronghorn,Capromeryx minor,Western United Statesandnorthern Mexico,9580-8860 BCE,Undetermined.[9],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
10,Chinese cave hyena,Crocuta crocuta ultima,East Asia,9550 BCE,Undetermined.[10],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
11,Shrub-ox,Euceratherium collinum,Southwestern North America,9550 BCE,Undetermined.[11],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
12,American mountain deer,Odocoileus lucasi,Rocky Mountains,9550 BCE,Hunting?[12],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
13,Stock's pronghorn,Stockoceros sp.,Mexico andSouthwestern United States,9550 BCE,Hunting?[12],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
14,Southeastern giant tortoise,Hesperotestudo crassiscutata,Southern United States,c. 9515 BCE,Undetermined.[13],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
15,Sardinian dhole,Cynotherium sardous,CorsicaandSardinia,9500-9300 BCE,Undetermined.[14],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
16,American lion,Panthera atrox,North America;WesternSouth America?,9460-9350 BCE,Undetermined.[3],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
17,Macrauchenia,Macrauchenia patachonica,Southwestern South America,9381-9281 BCE,Hunting.[16],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
18,Long-nosed peccary,Mylohyus nasutus,Eastern United States,9350 BCE,Habitat lossand competition with theAmerican black bear.[12],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
19,Jefferson's ground sloth,Megalonyx jeffersonii,North America,9190-8870 BCE,Undetermined.[12],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
20,Pygmy mammoth,Mammuthus exilis,"Channel Islands of California, United States",9130-9030 BCE,Undetermined.[6],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
21,Californian turkey,Meleagris californica,"California, United States",9100-8380 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
22,Wilson's tortoise,Hesperotestudo wilsoni,Southwestern United States,c. 9050 BCE,Undetermined.[13],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
23,Ryukyu tortoise,Manouria oyamai,"Ryukyu, Japan",c. 9050 BCE,Undetermined.[13],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
24,Cypriot genet,Genetta plesictoides,Cyprus,9050 BCE,Undetermined.[18],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
25,Miyako roe deer,Capreolus tokunagai,"Miyako Island, Ryukyu, Japan",9050-8050 BCE,Undetermined.[18],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
26,Asphalt stork,Ciconia maltha,Americas,9050-8050 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
27,Miyako long-tailed rat,Diplothrix miyakoensis,"Miyako Island, Ryukyu, Japan",9050-8050 BCE,Undetermined.[18],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
28,Merriam's teratorn,Teratornis merriami,"California, United States",9050-8050 BCE,Undetermined.[2],Animalia,Chordata,Aves,Cathartiformes,†Teratornithidae,"†TeratornisL. H. Miller, 1909[1]",,,,,,,,,,,
