,Conservation Status,Phylum,Class,Order,Family,Scientific Name,Diet,Common Name,Color,Skin Type,Lifespan,Type,Predators,Birth rate,Conception Period,Habitat Loss,Climate Change,Human Influance,Pollution,Hunting,Predation,Disease,Invasive Species,Food Competition,Number Of Threats,Africa,America,Asia,Europe,Oceania,Ocean,Antarctica,Number Of Locations,IsExtinct
0,Least Concern,0,0,0,0,Orycteropus afer,0,Aardvark,0,0,23,0,1,1,30,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0
1,Not Listed,0,0,1,1,Felis catus,0,Abyssinian cat,1,0,15,1,1,6,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,Not Listed,0,0,1,2,Canis Lupus,0,Affenpinscher,2,0,15,2,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Not Listed,0,0,1,2,Canis Lupus,0,Afghan Hound,3,0,15,3,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4,Least Concern,0,0,1,3,Civettictis civetta,0,African Civet,4,1,15,0,3,3,9,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0
5,Least Concern,0,0,1,4,Nandinia binotata,0,African Palm Civet,4,1,15,0,3,2,9,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0
6,Endangered,0,0,1,2,Lycaon pictus,1,African Wild Dog,5,1,10,0,3,8,10,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0
7,Not Listed,0,0,1,2,Canis lupus,0,Aidi,6,0,15,0,1,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8,Not Listed,0,0,1,2,Canis lupus,0,Ainu Dog,7,0,15,4,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
9,Not Listed,0,0,1,2,Canis Lupus,0,Airedale Terrier,8,0,15,2,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,Not Listed,0,0,1,2,Canis Lupus,0,Akbash,9,0,15,5,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11,Not Listed,0,0,1,2,Canis lupus,0,Akita,10,0,10,4,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,11,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,12,0,12,0,1,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Not Listed,0,0,1,2,Canis lupus,0,Canis lupus,13,0,10,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
